#NUMBER OF AGES= 1 MAGS=10
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2696 1.6115E-02 1.6115E-02   0.00   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: Bessell UBV(RI)c + 2MASS JHKs + Kepler (Vega)
#----------------------------------------------------       
#AGE= 2.000 EEPS=267
#EEP   M/Mo    LogTeff  LogG   LogL/Lo U       B       V       R       I       J       H       Ks      Kp      D51
  44  0.994568  3.7621  4.5078 -0.0706  5.8982  5.6637  4.9772  4.6077  4.2749  3.8247  3.5040  3.4679  4.7398  5.1520
  45  1.009216  3.7660  4.4966 -0.0373  5.7589  5.5554  4.8871  4.5258  4.1991  3.7597  3.4473  3.4126  4.6553  5.0555
  46  1.023670  3.7697  4.4850 -0.0047  5.6264  5.4505  4.7995  4.4459  4.1248  3.6954  3.3911  3.3577  4.5728  4.9622
  47  1.033196  3.7722  4.4768  0.0172  5.5432  5.3823  4.7421  4.3930  4.0755  3.6523  3.3530  3.3203  4.5183  4.9018
  48  1.048361  3.7758  4.4640  0.0509  5.4122  5.2763  4.6526  4.3108  3.9990  3.5852  3.2936  3.2621  4.4337  4.8071
  49  1.051111  3.7771  4.4611  0.0609  5.3716  5.2439  4.6264  4.2873  3.9776  3.5672  3.2783  3.2475  4.4093  4.7793
  50  1.062383  3.7802  4.4510  0.0882  5.2629  5.1553  4.5547  4.2218  3.9171  3.5149  3.2322  3.2027  4.3415  4.7027
  51  1.075607  3.7835  4.4395  0.1185  5.1444  5.0577  4.4758  4.1496  3.8500  3.4564  3.1805  3.1520  4.2667  4.6189
  52  1.080529  3.7846  4.4349  0.1297  5.1030  5.0231  4.4472  4.1229  3.8248  3.4341  3.1606  3.1324  4.2392  4.5887
  53  1.084907  3.7857  4.4307  0.1398  5.0671  4.9934  4.4214  4.0984  3.8014  3.4132  3.1419  3.1136  4.2142  4.5617
  54  1.088925  3.7866  4.4267  0.1493  5.0349  4.9668  4.3973  4.0752  3.7788  3.3927  3.1235  3.0949  4.1907  4.5368
  55  1.093093  3.7876  4.4226  0.1591  5.0023  4.9400  4.3724  4.0513  3.7555  3.3717  3.1046  3.0756  4.1665  4.5112
  56  1.098091  3.7888  4.4180  0.1703  4.9650  4.9093  4.3438  4.0235  3.7282  3.3472  3.0826  3.0531  4.1384  4.4816
  57  1.106038  3.7906  4.4115  0.1871  4.9104  4.8642  4.3009  3.9819  3.6876  3.3105  3.0498  3.0194  4.0965  4.4375
  58  1.198464  3.8077  4.3271  0.3737  4.2958  4.3176  3.8181  3.5294  3.2608  2.9244  2.6975  2.6697  3.6333  3.9362
  59  1.206933  3.8089  4.3188  0.3901  4.2454  4.2704  3.7762  3.4901  3.2235  2.8901  2.6655  2.6381  3.5931  3.8930
  60  1.333320  3.8247  4.2066  0.6076  3.5975  3.6499  3.2200  2.9650  2.7264  2.4294  2.2362  2.2120  3.0564  3.3201
  61  1.350575  3.8259  4.1865  0.6379  3.5156  3.5672  3.1427  2.8906  2.6547  2.3605  2.1700  2.1461  2.9808  3.2414
  62  1.363258  3.8267  4.1720  0.6598  3.4570  3.5078  3.0869  2.8369  2.6030  2.3108  2.1222  2.0985  2.9265  3.1847
  63  1.374521  3.8274  4.1602  0.6781  3.4081  3.4580  3.0405  2.7924  2.5603  2.2697  2.0827  2.0594  2.8813  3.1375
  64  1.383466  3.8280  4.1508  0.6922  3.3704  3.4195  3.0044  2.7576  2.5266  2.2374  2.0516  2.0283  2.8459  3.1006
  65  1.391065  3.8283  4.1424  0.7044  3.3388  3.3872  2.9736  2.7277  2.4977  2.2092  2.0242  2.0011  2.8157  3.0695
  66  1.398185  3.8286  4.1344  0.7156  3.3095  3.3573  2.9450  2.6998  2.4705  2.1826  1.9982  1.9751  2.7876  3.0405
  67  1.405100  3.8287  4.1264  0.7266  3.2816  3.3285  2.9173  2.6728  2.4440  2.1566  1.9728  1.9498  2.7602  3.0125
  68  1.412271  3.8289  4.1181  0.7378  3.2531  3.2991  2.8889  2.6450  2.4168  2.1298  1.9464  1.9235  2.7323  2.9840
  69  1.420212  3.8291  4.1091  0.7500  3.2219  3.2671  2.8581  2.6147  2.3872  2.1007  1.9179  1.8951  2.7018  2.9528
  70  1.428617  3.8292  4.0995  0.7628  3.1894  3.2335  2.8256  2.5830  2.3560  2.0699  1.8876  1.8647  2.6698  2.9200
  71  1.437253  3.8294  4.0895  0.7759  3.1564  3.1995  2.7925  2.5503  2.3239  2.0381  1.8563  1.8335  2.6370  2.8867
